CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,1	-1.25E-04	-2.80E-11	1.00E-02	0.00E+00	6.76E-06	1.00E-02
1,1,2	-1.27E-04	-1.11E-11	2.12E-01	4.20E-02	-1.85E-06	2.12E-01
1,1,3	-1.21E-04	7.40E-12	4.14E-01	8.40E-02	-7.98E-06	4.14E-01
1,1,4	-1.27E-04	1.55E-11	6.15E-01	1.26E-01	-1.18E-05	6.15E-01
1,1,5	-1.22E-04	3.96E-11	8.17E-01	1.68E-01	-1.11E-05	8.17E-01
1,1,6	-1.24E-04	2.40E-11	1.02E+00	2.10E-01	-5.43E-06	1.02E+00
1,1,7	-1.21E-04	8.90E-12	1.24E+00	2.52E-01	1.20E-05	1.24E+00
1,1,8	-1.17E-04	-1.65E-11	1.44E+00	2.94E-01	1.09E-05	1.44E+00
1,1,9	-1.20E-04	-2.10E-11	1.64E+00	3.36E-01	4.72E-06	1.64E+00
1,1,10	-1.19E-04	-4.50E-12	1.84E+00	3.78E-01	-2.62E-06	1.84E+00
1,1,11	-1.28E-04	-5.12E-11	2.05E+00	4.20E-01	-9.76E-06	2.05E+00
1,1,12	-1.23E-04	3.20E-12	2.26E+00	4.62E-01	1.20E-05	2.26E+00
1,1,13	-1.20E-04	-1.41E-11	2.46E+00	5.04E-01	1.08E-05	2.46E+00
1,1,14	-1.23E-04	-3.11E-11	2.66E+00	5.46E-01	4.67E-06	2.66E+00
1,1,15	-1.23E-04	-6.90E-12	2.86E+00	5.88E-01	-2.70E-06	2.86E+00
1,1,16	-1.26E-04	1.00E-13	3.06E+00	6.30E-01	-8.40E-06	3.06E+00
1,1,17	-1.20E-04	4.85E-11	3.26E+00	6.72E-01	-1.20E-05	3.26E+00
1,1,18	-1.22E-04	4.36E-11	3.47E+00	7.14E-01	-1.07E-05	3.47E+00
1,1,19	-1.20E-04	1.11E-11	3.67E+00	7.56E-01	-3.94E-06	3.67E+00
1,1,20	-1.18E-04	1.15E-11	3.87E+00	7.98E-01	3.21E-06	3.87E+00
1,1,21	-1.24E-04	6.04E-11	4.07E+00	8.40E-01	8.81E-06	4.07E+00
1,1,22	-1.21E-04	-1.48E-11	4.27E+00	8.82E-01	1.21E-05	4.27E+00
1,1,23	-1.23E-04	-4.59E-11	4.47E+00	9.24E-01	1.07E-05	4.47E+00
1,1,24	-1.23E-04	-3.84E-11	4.68E+00	9.66E-01	4.00E-06	4.68E+00
1,1,25	-1.24E-04	-1.00E-12	4.88E+00	1.01E+00	-3.30E-06	4.88E+00
1,1,26	-1.25E-04	1.12E-11	5.08E+00	1.05E+00	-8.92E-06	5.08E+00
1,1,27	-1.20E-04	4.14E-11	5.28E+00	1.09E+00	-1.21E-05	5.28E+00
1,1,28	-1.23E-04	4.78E-11	5.48E+00	1.13E+00	-1.04E-05	5.48E+00
1,1,29	-1.18E-04	2.20E-12	5.68E+00	1.18E+00	-3.93E-06	5.68E+00
1,1,30	-1.20E-04	1.61E-11	5.89E+00	1.22E+00	3.32E-06	5.89E+00
1,1,31	-1.22E-04	6.40E-11	6.09E+00	1.26E+00	8.85E-06	6.09E+00
1,1,32	-1.21E-04	-2.00E-11	6.29E+00	1.30E+00	1.21E-05	6.29E+00
1,1,33	-1.23E-04	-3.70E-12	6.49E+00	1.34E+00	1.06E-05	6.49E+00
1,1,34	-1.25E-04	-4.07E-11	6.69E+00	1.39E+00	2.98E-06	6.69E+00
1,1,35	-1.26E-04	0.00E+00	6.89E+00	1.43E+00	-4.81E-06	6.89E+00
1,1,36	-1.25E-04	8.30E-12	7.10E+00	1.47E+00	-1.02E-05	7.10E+00
1,1,37	-1.23E-04	1.65E-11	7.30E+00	1.51E+00	-1.26E-05	7.30E+00
1,1,38	-1.20E-04	3.48E-11	7.50E+00	1.55E+00	-9.33E-06	7.50E+00
1,1,39	-1.21E-04	7.60E-12	7.70E+00	1.60E+00	-2.50E-06	7.70E+00
1,1,40	-1.22E-04	1.58E-11	7.90E+00	1.64E+00	5.40E-06	7.90E+00
1,1,41	-1.21E-04	6.00E-12	8.10E+00	1.68E+00	1.05E-05	8.10E+00
1,1,42	-1.20E-04	3.06E-11	8.30E+00	1.72E+00	1.25E-05	8.30E+00
1,1,43	-1.24E-04	-2.23E-11	8.51E+00	1.76E+00	7.46E-06	8.51E+00
1,1,44	-1.24E-04	-1.61E-11	8.71E+00	1.81E+00	5.79E-07	8.71E+00
1,1,45	-1.27E-04	5.30E-12	8.91E+00	1.85E+00	-7.33E-06	8.91E+00
1,1,46	-1.23E-04	1.48E-11	9.11E+00	1.89E+00	-1.12E-05	9.11E+00
1,1,47	-1.25E-04	2.98E-11	9.31E+00	1.93E+00	-1.14E-05	9.31E+00
1,1,48	-1.20E-04	2.41E-11	9.51E+00	1.97E+00	-7.19E-06	9.51E+00
1,1,49	-1.21E-04	1.54E-11	9.72E+00	2.02E+00	1.30E-07	9.72E+00
1,1,50	-1.22E-04	8.10E-12	9.92E+00	2.06E+00	7.61E-06	9.92E+00
1,1,51	-1.19E-04	4.00E-12	1.01E+01	2.10E+00	1.12E-05	1.01E+01
1,1,52	-1.19E-04	1.83E-11	1.03E+01	2.14E+00	1.16E-05	1.03E+01
1,1,53	-1.24E-04	-2.98E-11	1.05E+01	2.18E+00	7.13E-06	1.05E+01
1,1,54	-1.23E-04	-8.00E-12	1.07E+01	2.23E+00	9.30E-08	1.07E+01
1,1,55	-1.27E-04	9.00E-12	1.09E+01	2.27E+00	-7.52E-06	1.09E+01
1,1,56	-1.22E-04	1.39E-11	1.11E+01	2.31E+00	-1.13E-05	1.11E+01
1,1,57	-1.27E-04	3.23E-11	1.13E+01	2.35E+00	-1.15E-05	1.13E+01
1,1,58	-1.21E-04	1.40E-12	1.15E+01	2.39E+00	-6.75E-06	1.15E+01
1,1,59	-1.20E-04	1.90E-11	1.17E+01	2.44E+00	1.27E-07	1.17E+01
1,1,60	-1.21E-04	8.80E-12	1.19E+01	2.48E+00	7.61E-06	1.19E+01
1,1,61	-1.19E-04	1.00E-13	1.21E+01	2.52E+00	1.12E-05	1.21E+01
1,1,62	-1.22E-04	1.09E-11	1.23E+01	2.56E+00	1.16E-05	1.23E+01
1,1,63	-1.23E-04	-8.02E-11	1.25E+01	2.60E+00	2.83E-06	1.25E+01
1,1,64	-1.26E-04	3.94E-11	1.28E+01	2.65E+00	-1.02E-05	1.28E+01
1,1,65	-1.23E-04	-1.40E-12	1.30E+01	2.69E+00	-3.87E-06	1.30E+01
1,1,66	-1.22E-04	9.10E-12	1.32E+01	2.73E+00	3.33E-06	1.32E+01
1,1,67	-1.25E-04	8.00E-12	1.34E+01	2.77E+00	8.95E-06	1.34E+01
1,1,68	-1.20E-04	1.00E-13	1.36E+01	2.81E+00	1.21E-05	1.36E+01
1,1,69	-1.22E-04	2.99E-11	1.38E+01	2.86E+00	-8.77E-06	1.38E+01
1,1,70	-1.21E-04	1.30E-12	1.40E+01	2.90E+00	-2.34E-06	1.40E+01
1,1,71	-1.21E-04	1.57E-11	1.42E+01	2.94E+00	5.21E-06	1.42E+01
1,1,72	-1.21E-04	1.06E-11	1.44E+01	2.98E+00	1.04E-05	1.44E+01
1,1,73	-1.16E-04	-3.30E-12	1.46E+01	3.02E+00	1.16E-05	1.46E+01
1,1,74	-1.26E-04	6.30E-12	1.48E+01	3.07E+00	6.89E-06	1.48E+01
1,1,75	-1.23E-04	-4.90E-12	1.50E+01	3.11E+00	-8.40E-08	1.50E+01
1,1,76	-1.25E-04	3.40E-12	1.52E+01	3.15E+00	-7.51E-06	1.52E+01
1,1,77	-1.24E-04	8.30E-12	1.54E+01	3.19E+00	-1.12E-05	1.54E+01
1,1,78	-1.23E-04	1.66E-11	1.56E+01	3.23E+00	-1.14E-05	1.56E+01
1,1,79	-1.22E-04	1.70E-11	1.58E+01	3.28E+00	-7.08E-06	1.58E+01
1,1,80	-1.20E-04	7.90E-12	1.60E+01	3.32E+00	-6.12E-07	1.60E+01
1,1,81	-1.22E-04	1.24E-11	1.62E+01	3.36E+00	7.92E-06	1.62E+01
1,1,82	-1.19E-04	6.10E-12	1.64E+01	3.40E+00	1.17E-05	1.64E+01
1,1,83	-1.19E-04	-3.00E-12	1.66E+01	3.44E+00	1.14E-05	1.66E+01
1,1,84	-1.23E-04	-5.50E-12	1.68E+01	3.49E+00	5.64E-06	1.68E+01
1,1,85	-1.23E-04	-2.50E-12	1.70E+01	3.53E+00	-1.47E-06	1.70E+01
1,1,86	-1.25E-04	8.60E-12	1.72E+01	3.57E+00	-7.89E-06	1.72E+01
1,1,87	-1.21E-04	1.44E-11	1.74E+01	3.61E+00	-1.16E-05	1.74E+01
1,1,88	-1.25E-04	2.62E-11	1.76E+01	3.65E+00	-1.13E-05	1.76E+01
1,1,89	-1.22E-04	-2.20E-12	1.78E+01	3.70E+00	-6.12E-06	1.78E+01
1,1,90	-1.21E-04	1.06E-11	1.80E+01	3.74E+00	9.17E-07	1.80E+01
1,1,91	-1.21E-04	1.01E-11	1.82E+01	3.78E+00	7.74E-06	1.82E+01
1,1,92	-1.19E-04	2.30E-12	1.84E+01	3.82E+00	1.13E-05	1.84E+01
1,1,93	-1.23E-04	1.26E-11	1.86E+01	3.86E+00	1.17E-05	1.86E+01
1,1,94	-1.21E-04	-3.69E-11	1.88E+01	3.91E+00	6.74E-06	1.88E+01
1,1,95	-1.24E-04	5.60E-12	1.90E+01	3.95E+00	-3.17E-07	1.90E+01
1,1,96	-1.23E-04	5.60E-12	1.92E+01	3.99E+00	-7.50E-06	1.92E+01
1,1,97	-1.22E-04	1.34E-11	1.94E+01	4.03E+00	-1.12E-05	1.94E+01
1,1,98	-1.27E-04	2.51E-11	1.96E+01	4.07E+00	-1.14E-05	1.96E+01
1,1,99	-1.20E-04	1.10E-12	1.98E+01	4.12E+00	-7.43E-06	1.98E+01
1,1,100	-1.20E-04	-1.10E-11	2.00E+01	4.16E+00	-1.12E-06	2.00E+01
1,1,101	-1.20E-04	-6.70E-12	2.02E+01	4.20E+00	6.70E-06	2.02E+01
1,1,102	-1.17E-04	-2.10E-12	2.04E+01	4.24E+00	1.10E-05	2.04E+01
1,1,103	-1.22E-04	1.68E-11	2.06E+01	4.28E+00	1.21E-05	2.06E+01
1,1,104	-1.18E-04	-8.00E-11	2.08E+01	4.33E+00	8.54E-06	2.08E+01
1,1,105	-1.26E-04	2.32E-11	2.10E+01	4.37E+00	1.98E-06	2.10E+01
1,1,106	-1.23E-04	4.00E-12	2.12E+01	4.41E+00	-5.78E-06	2.12E+01
1,1,107	-1.24E-04	7.20E-12	2.14E+01	4.45E+00	-1.13E-05	2.14E+01
1,1,108	-1.25E-04	2.45E-11	2.16E+01	4.49E+00	-1.14E-05	2.16E+01
1,1,109	-1.21E-04	2.50E-12	2.18E+01	4.54E+00	-7.20E-06	2.18E+01
1,1,110	-1.21E-04	-1.59E-11	2.20E+01	4.58E+00	-7.18E-07	2.20E+01
1,1,111	-1.18E-04	7.90E-12	2.22E+01	4.62E+00	6.94E-06	2.22E+01
1,1,112	-1.21E-04	4.40E-12	2.25E+01	4.66E+00	1.11E-05	2.25E+01
1,1,113	-1.21E-04	1.37E-11	2.27E+01	4.70E+00	1.20E-05	2.27E+01
1,1,114	-1.18E-04	-2.60E-11	2.29E+01	4.75E+00	8.35E-06	2.29E+01
1,1,115	-1.25E-04	-3.50E-12	2.31E+01	4.79E+00	1.89E-06	2.31E+01
1,1,116	-1.21E-04	5.30E-12	2.33E+01	4.83E+00	-5.81E-06	2.33E+01
1,1,117	-1.26E-04	1.17E-11	2.35E+01	4.87E+00	-1.08E-05	2.35E+01
1,1,118	-1.22E-04	1.42E-11	2.37E+01	4.91E+00	-1.25E-05	2.37E+01
1,1,119	-1.24E-04	1.68E-11	2.39E+01	4.96E+00	-9.46E-06	2.39E+01
1,1,120	-1.24E-04	4.13E-11	2.41E+01	5.00E+00	-2.88E-06	2.41E+01
1,1,121	-1.21E-04	3.42E-11	2.43E+01	5.04E+00	1.00E-05	2.43E+01
1,1,122	-1.22E-04	9.80E-12	2.45E+01	5.08E+00	3.50E-06	2.45E+01
1,1,123	-1.18E-04	3.70E-12	2.47E+01	5.12E+00	-3.62E-06	2.47E+01
1,1,124	-1.23E-04	7.40E-12	2.49E+01	5.17E+00	-9.13E-06	2.49E+01
1,1,125	-1.23E-04	-1.32E-11	2.51E+01	5.21E+00	-1.21E-05	2.51E+01
1,1,126	-1.25E-04	3.20E-12	2.53E+01	5.25E+00	6.65E-06	2.53E+01
1,1,127	-1.25E-04	5.80E-12	2.55E+01	5.29E+00	-3.41E-07	2.55E+01
1,1,128	-1.22E-04	8.70E-12	2.57E+01	5.33E+00	-7.45E-06	2.57E+01
1,1,129	-1.25E-04	1.18E-11	2.59E+01	5.38E+00	-1.12E-05	2.59E+01
1,1,130	-1.21E-04	1.58E-11	2.61E+01	5.42E+00	-1.15E-05	2.61E+01
1,1,131	-1.23E-04	1.85E-11	2.63E+01	5.46E+00	-7.42E-06	2.63E+01
1,1,132	-1.21E-04	8.50E-12	2.65E+01	5.50E+00	-1.18E-06	2.65E+01
1,1,133	-1.19E-04	1.33E-11	2.67E+01	5.54E+00	6.58E-06	2.67E+01
1,1,134	-1.21E-04	1.18E-11	2.69E+01	5.59E+00	1.09E-05	2.69E+01
1,1,135	-1.17E-04	1.81E-11	2.71E+01	5.63E+00	1.23E-05	2.71E+01
1,1,136	-1.25E-04	1.60E-11	2.73E+01	5.67E+00	5.37E-06	2.73E+01
1,1,137	-1.22E-04	1.50E-12	2.75E+01	5.71E+00	-1.53E-06	2.75E+01
1,1,138	-1.25E-04	7.30E-12	2.77E+01	5.75E+00	-7.79E-06	2.77E+01
1,1,139	-1.24E-04	1.76E-11	2.79E+01	5.80E+00	-1.15E-05	2.79E+01
1,1,140	-1.22E-04	8.90E-12	2.81E+01	5.84E+00	-1.14E-05	2.81E+01
1,1,141	-1.24E-04	6.40E-12	2.83E+01	5.88E+00	-6.64E-06	2.83E+01
1,1,142	-1.18E-04	1.00E-13	2.85E+01	5.92E+00	7.50E-08	2.85E+01
1,1,143	-1.23E-04	9.60E-12	2.87E+01	5.96E+00	7.30E-06	2.87E+01
1,1,144	-1.19E-04	1.85E-11	2.89E+01	6.01E+00	1.10E-05	2.89E+01
1,1,145	-1.17E-04	2.67E-11	2.91E+01	6.05E+00	1.16E-05	2.91E+01
1,1,146	-1.24E-04	6.30E-12	2.93E+01	6.09E+00	7.84E-06	2.93E+01
1,1,147	-1.22E-04	4.40E-12	2.95E+01	6.13E+00	1.34E-06	2.95E+01
1,1,148	-1.24E-04	-2.29E-11	2.97E+01	6.17E+00	-6.46E-06	2.97E+01
1,1,149	-1.22E-04	-1.19E-10	2.99E+01	6.22E+00	-1.11E-05	2.99E+01
1,1,150	-1.26E-04	1.40E-11	3.01E+01	6.26E+00	-1.23E-05	3.01E+01
1,1,151	-1.22E-04	8.50E-12	3.03E+01	6.30E+00	-8.96E-06	3.03E+01
1,1,152	-1.18E-04	-2.33E-11	3.05E+01	6.34E+00	4.20E-08	3.05E+01
1,1,153	-1.21E-04	1.11E-11	3.07E+01	6.38E+00	7.30E-06	3.07E+01
1,1,154	-1.19E-04	2.30E-12	3.09E+01	6.43E+00	1.11E-05	3.09E+01
1,1,155	-1.23E-04	1.27E-11	3.12E+01	6.47E+00	1.17E-05	3.12E+01
1,1,156	-1.19E-04	-2.10E-11	3.14E+01	6.51E+00	7.97E-06	3.14E+01
1,1,157	-1.23E-04	1.47E-11	3.16E+01	6.55E+00	1.54E-06	3.16E+01
1,1,158	-1.23E-04	6.10E-12	3.18E+01	6.59E+00	-6.18E-06	3.18E+01
1,1,159	-1.22E-04	5.80E-12	3.20E+01	6.64E+00	-1.09E-05	3.20E+01
1,1,160	-1.26E-04	1.22E-11	3.22E+01	6.68E+00	-1.25E-05	3.22E+01
1,1,161	-1.20E-04	-5.30E-12	3.24E+01	6.72E+00	-9.21E-06	3.24E+01
1,1,162	-1.20E-04	3.00E-13	3.26E+01	6.76E+00	-2.73E-06	3.26E+01
1,1,163	-1.19E-04	6.50E-12	3.28E+01	6.80E+00	4.50E-06	3.28E+01
1,1,164	-1.21E-04	3.40E-12	3.30E+01	6.85E+00	9.77E-06	3.30E+01
1,1,165	-1.22E-04	1.73E-11	3.32E+01	6.89E+00	1.25E-05	3.32E+01
1,1,166	-1.17E-04	-1.22E-11	3.34E+01	6.93E+00	1.03E-05	3.34E+01
1,1,167	-1.24E-04	1.37E-11	3.36E+01	6.97E+00	3.35E-06	3.36E+01
1,1,168	-1.21E-04	5.10E-12	3.38E+01	7.01E+00	-3.86E-06	3.38E+01
1,1,169	-1.25E-04	6.40E-12	3.40E+01	7.06E+00	-9.23E-06	3.40E+01
1,1,170	-1.24E-04	1.35E-11	3.42E+01	7.10E+00	-1.21E-05	3.42E+01
1,1,171	-1.23E-04	-2.00E-13	3.44E+01	7.14E+00	-1.05E-05	3.44E+01
1,1,172	-1.22E-04	-1.42E-11	3.46E+01	7.18E+00	-4.03E-06	3.46E+01
1,1,173	-1.17E-04	1.09E-11	3.48E+01	7.22E+00	2.65E-06	3.48E+01
1,1,174	-1.23E-04	7.40E-12	3.50E+01	7.27E+00	8.30E-06	3.50E+01
1,1,175	-1.19E-04	7.90E-12	3.52E+01	7.31E+00	1.19E-05	3.52E+01
1,1,176	-1.22E-04	8.30E-12	3.54E+01	7.35E+00	1.12E-05	3.54E+01
1,1,177	-1.20E-04	-4.08E-11	3.56E+01	7.39E+00	5.45E-06	3.56E+01
1,1,178	-1.22E-04	6.40E-12	3.58E+01	7.43E+00	-1.24E-05	3.58E+01
1,1,179	-1.25E-04	1.63E-11	3.60E+01	7.48E+00	-9.13E-06	3.60E+01
1,1,180	-1.23E-04	-5.30E-12	3.62E+01	7.52E+00	-2.79E-06	3.62E+01
1,1,181	-1.26E-04	1.10E-11	3.64E+01	7.56E+00	4.67E-06	3.64E+01
1,1,182	-1.22E-04	9.90E-12	3.66E+01	7.60E+00	9.87E-06	3.66E+01
1,1,183	-1.20E-04	7.90E-12	3.68E+01	7.64E+00	-1.09E-05	3.68E+01
1,1,184	-1.20E-04	2.00E-12	3.70E+01	7.69E+00	-5.24E-06	3.70E+01
1,1,185	-1.21E-04	8.00E-12	3.72E+01	7.73E+00	1.58E-06	3.72E+01
1,1,186	-1.21E-04	9.40E-12	3.74E+01	7.77E+00	7.79E-06	3.74E+01
1,1,187	-1.18E-04	5.14E-11	3.76E+01	7.81E+00	1.14E-05	3.76E+01
1,1,188	-1.26E-04	1.50E-11	3.78E+01	7.85E+00	1.16E-05	3.78E+01
1,1,189	-1.23E-04	7.70E-12	3.80E+01	7.90E+00	6.85E-06	3.80E+01
1,1,190	-1.23E-04	1.46E-11	3.82E+01	7.94E+00	-3.07E-07	3.82E+01
1,1,191	-1.24E-04	8.40E-12	3.84E+01	7.98E+00	-7.55E-06	3.84E+01
1,1,192	-1.22E-04	6.60E-12	3.86E+01	8.02E+00	-1.12E-05	3.86E+01
1,1,193	-1.23E-04	2.66E-11	3.88E+01	8.06E+00	-1.15E-05	3.88E+01
1,1,194	-1.19E-04	-7.10E-12	3.90E+01	8.11E+00	-7.83E-06	3.90E+01
1,1,195	-1.20E-04	1.71E-11	3.92E+01	8.15E+00	-1.36E-06	3.92E+01
1,1,196	-1.21E-04	7.40E-12	3.94E+01	8.19E+00	6.25E-06	3.94E+01
1,1,197	-1.21E-04	5.86E-11	3.96E+01	8.23E+00	1.08E-05	3.96E+01
1,1,198	-1.26E-04	1.99E-11	3.99E+01	8.27E+00	1.24E-05	3.99E+01
1,1,199	-1.20E-04	-5.00E-13	4.01E+01	8.32E+00	8.60E-06	4.01E+01
1,1,200	-1.25E-04	1.89E-11	4.03E+01	8.36E+00	2.18E-06	4.03E+01
1,1,201	-1.21E-04	2.64E-11	4.05E+01	8.40E+00	-5.56E-06	4.05E+01
1,1,202	-1.25E-04	-8.00E-13	4.07E+01	8.44E+00	-1.05E-05	4.07E+01
1,1,203	-1.24E-04	1.31E-11	4.09E+01	8.48E+00	-1.25E-05	4.09E+01
1,1,204	-1.21E-04	-4.70E-12	4.11E+01	8.53E+00	-9.82E-06	4.11E+01
1,1,205	-1.21E-04	1.90E-11	4.13E+01	8.57E+00	-2.92E-06	4.13E+01
1,1,206	-1.18E-04	9.60E-12	4.15E+01	8.61E+00	4.52E-06	4.15E+01
1,1,207	-1.23E-04	8.00E-12	4.17E+01	8.65E+00	9.73E-06	4.17E+01
1,1,208	-1.20E-04	4.56E-11	4.19E+01	8.69E+00	1.23E-05	4.19E+01
1,1,209	-1.24E-04	5.90E-12	4.21E+01	8.74E+00	1.05E-05	4.21E+01
1,1,210	-1.23E-04	2.60E-12	4.23E+01	8.78E+00	4.20E-06	4.23E+01
1,1,211	-1.23E-04	6.60E-12	4.25E+01	8.82E+00	-2.73E-06	4.25E+01
1,1,212	-1.26E-04	9.70E-12	4.27E+01	8.86E+00	-8.19E-06	4.27E+01
1,1,213	-1.21E-04	7.70E-12	4.29E+01	8.90E+00	-1.21E-05	4.29E+01
1,1,214	-1.22E-04	6.90E-12	4.31E+01	8.95E+00	-1.08E-05	4.31E+01
1,1,215	-1.20E-04	7.40E-12	4.33E+01	8.99E+00	-5.04E-06	4.33E+01
1,1,216	-1.21E-04	7.60E-12	4.35E+01	9.03E+00	1.82E-06	4.35E+01
1,1,217	-1.22E-04	8.70E-12	4.37E+01	9.07E+00	7.88E-06	4.37E+01
1,1,218	-1.18E-04	5.24E-11	4.39E+01	9.11E+00	1.15E-05	4.39E+01
1,1,219	-1.26E-04	2.05E-11	4.41E+01	9.16E+00	1.16E-05	4.41E+01
1,1,220	-1.21E-04	-3.10E-12	4.43E+01	9.20E+00	6.85E-06	4.43E+01
1,1,221	-1.24E-04	1.46E-11	4.45E+01	9.24E+00	-1.20E-06	4.45E+01
1,1,222	-1.25E-04	1.48E-11	4.47E+01	9.28E+00	-7.35E-06	4.47E+01
1,1,223	-1.23E-04	1.11E-11	4.49E+01	9.32E+00	-1.12E-05	4.49E+01
1,1,224	-1.25E-04	2.25E-11	4.51E+01	9.37E+00	-1.18E-05	4.51E+01
1,1,225	-1.22E-04	-6.50E-12	4.53E+01	9.41E+00	-8.17E-06	4.53E+01
1,1,226	-1.23E-04	1.63E-11	4.55E+01	9.45E+00	-1.86E-06	4.55E+01
1,1,227	-1.22E-04	6.40E-12	4.57E+01	9.49E+00	5.59E-06	4.57E+01
1,1,228	-1.22E-04	7.34E-11	4.59E+01	9.53E+00	1.05E-05	4.59E+01
1,1,229	-1.27E-04	-9.90E+37	4.61E+01	9.58E+00	1.25E-05	4.61E+01
1,1,230	-1.22E-04	-1.44E-11	4.63E+01	9.62E+00	1.00E-05	4.63E+01
1,1,231	-1.26E-04	1.23E-11	4.65E+01	9.66E+00	3.27E-06	4.65E+01
1,1,232	-1.21E-04	-7.00E-13	4.67E+01	9.70E+00	-3.90E-06	4.67E+01
1,1,233	-1.26E-04	7.70E-12	4.69E+01	9.74E+00	-9.19E-06	4.69E+01
1,1,234	-1.23E-04	1.10E-11	4.71E+01	9.79E+00	-1.21E-05	4.71E+01
1,1,235	-1.23E-04	-5.42E-11	4.73E+01	9.83E+00	9.96E-06	4.73E+01
1,1,236	-1.22E-04	2.49E-11	4.75E+01	9.87E+00	1.24E-05	4.75E+01
1,1,237	-1.19E-04	1.89E-11	4.77E+01	9.91E+00	1.02E-05	4.77E+01
1,1,238	-1.20E-04	2.96E-11	4.79E+01	9.95E+00	3.66E-06	4.79E+01
1,1,239	-1.20E-04	-4.13E-11	4.81E+01	1.00E+01	-3.59E-06	4.81E+01
1,1,240	-1.26E-04	2.22E-11	4.84E+01	1.00E+01	1.18E-05	4.84E+01
1,1,241	-1.22E-04	1.76E-11	4.86E+01	1.01E+01	1.12E-05	4.86E+01
1,1,242	-1.25E-04	9.00E-12	4.88E+01	1.01E+01	5.32E-06	4.88E+01
1,1,243	-1.24E-04	1.00E-11	4.90E+01	1.02E+01	-1.73E-06	4.90E+01
1,1,244	-1.22E-04	1.39E-11	4.92E+01	1.02E+01	-7.92E-06	4.92E+01
1,1,245	-1.24E-04	4.19E-11	4.94E+01	1.02E+01	-1.18E-05	4.94E+01
1,1,246	-1.19E-04	6.70E-12	4.96E+01	1.03E+01	-1.13E-05	4.96E+01
1,1,247	-1.23E-04	2.61E-11	4.98E+01	1.03E+01	-6.51E-06	4.98E+01
1,1,248	-1.21E-04	1.04E-11	5.00E+01	1.04E+01	6.08E-07	5.00E+01
1,1,249	-1.23E-04	7.16E-11	5.02E+01	1.04E+01	7.54E-06	5.02E+01
1,1,250	-1.27E-04	1.96E-11	5.04E+01	1.05E+01	1.20E-05	5.04E+01
1,1,251	-1.22E-04	-1.00E-13	5.06E+01	1.05E+01	1.10E-05	5.06E+01
1,1,252	-1.26E-04	2.30E-11	5.08E+01	1.05E+01	4.94E-06	5.08E+01
1,1,253	-1.23E-04	9.60E-12	5.10E+01	1.06E+01	-2.15E-06	5.10E+01
1,1,254	-1.26E-04	1.14E-11	5.12E+01	1.06E+01	-8.05E-06	5.12E+01
1,1,255	-1.22E-04	3.84E-11	5.14E+01	1.07E+01	-1.19E-05	5.14E+01
1,1,256	-1.19E-04	-3.90E-12	5.16E+01	1.07E+01	-1.12E-05	5.16E+01
1,1,257	-1.21E-04	2.07E-11	5.18E+01	1.08E+01	-5.89E-06	5.18E+01
1,1,258	-1.19E-04	6.80E-12	5.20E+01	1.08E+01	1.08E-06	5.20E+01
1,1,259	-1.23E-04	1.07E-11	5.22E+01	1.08E+01	7.73E-06	5.22E+01
1,1,260	-1.22E-04	6.04E-11	5.24E+01	1.09E+01	1.12E-05	5.24E+01
1,1,261	-1.25E-04	9.90E-12	5.26E+01	1.09E+01	1.16E-05	5.26E+01
1,1,262	-1.24E-04	1.21E-11	5.28E+01	1.10E+01	7.10E-06	5.28E+01
1,1,263	-1.23E-04	6.20E-12	5.30E+01	1.10E+01	-1.74E-06	5.30E+01
1,1,264	-1.27E-04	1.02E-11	5.32E+01	1.10E+01	-7.90E-06	5.32E+01
1,1,265	-1.22E-04	1.00E-11	5.34E+01	1.11E+01	-1.17E-05	5.34E+01
1,1,266	-1.22E-04	1.46E-11	5.36E+01	1.11E+01	-1.13E-05	5.36E+01
1,1,267	-1.21E-04	6.30E-12	5.38E+01	1.12E+01	-6.20E-06	5.38E+01
1,1,268	-1.21E-04	8.90E-12	5.40E+01	1.12E+01	7.69E-07	5.40E+01
1,1,269	-1.22E-04	7.90E-12	5.42E+01	1.13E+01	7.70E-06	5.42E+01
1,1,270	-1.19E-04	5.55E-11	5.44E+01	1.13E+01	1.12E-05	5.44E+01
1,1,271	-1.27E-04	2.47E-11	5.46E+01	1.13E+01	1.16E-05	5.46E+01
1,1,272	-1.21E-04	-6.00E-13	5.48E+01	1.14E+01	7.32E-06	5.48E+01
1,1,273	-1.25E-04	1.79E-11	5.50E+01	1.14E+01	5.06E-07	5.50E+01
1,1,274	-1.24E-04	9.80E-12	5.52E+01	1.15E+01	-7.24E-06	5.52E+01
1,1,275	-1.23E-04	1.11E-11	5.54E+01	1.15E+01	-1.12E-05	5.54E+01
1,1,276	-1.23E-04	2.90E-11	5.56E+01	1.16E+01	-1.18E-05	5.56E+01
1,1,277	-1.19E-04	2.40E-12	5.58E+01	1.16E+01	-7.55E-06	5.58E+01
1,1,278	-1.23E-04	2.15E-11	5.60E+01	1.16E+01	-1.18E-06	5.60E+01
1,1,279	-1.20E-04	6.40E-12	5.62E+01	1.17E+01	6.52E-06	5.62E+01
1,1,280	-1.23E-04	6.23E-11	5.64E+01	1.17E+01	1.08E-05	5.64E+01
